make_id,make_name,model_id,model_name
51520,Tesla,20031,Sonstige
51520,Tesla,20032,Model S
51520,Tesla,20033,Model X
51520,Tesla,20034,Roadster
51520,Tesla,74665,Model 3
51520,Tesla,75320,Model Y
51520,Tesla,75609,Cybertruck
51802,CUPRA,75205,Ateca
51802,CUPRA,75206,Sonstige
51802,CUPRA,75400,Ibiza
51802,CUPRA,75401,Arona
51802,CUPRA,75435,Leon
51802,CUPRA,75544,Tavascan
51802,CUPRA,75545,Formentor
51802,CUPRA,75976,Born
51802,CUPRA,75977,Formentor VZ5
51802,CUPRA,76859,Terramar
51817,Polestar,75396,1
51817,Polestar,75397,2
51817,Polestar,75398,Sonstige
51817,Polestar,76323,3
51817,Polestar,76487,4
6,Alfa Romeo,1600,33
6,Alfa Romeo,1601,145
6,Alfa Romeo,1602,146
6,Alfa Romeo,1603,155
6,Alfa Romeo,1604,164
6,Alfa Romeo,1606,75
6,Alfa Romeo,1607,90
6,Alfa Romeo,1608,Alfasud
6,Alfa Romeo,1609,Alfetta
6,Alfa Romeo,1611,Giulietta
6,Alfa Romeo,1612,GTV
6,Alfa Romeo,1614,Spider
6,Alfa Romeo,15117,156
6,Alfa Romeo,15636,166
6,Alfa Romeo,16421,147
6,Alfa Romeo,16628,RZ
6,Alfa Romeo,18412,GT
6,Alfa Romeo,18553,Giulia
6,Alfa Romeo,18581,Brera
6,Alfa Romeo,18631,Sprint
6,Alfa Romeo,18681,159
6,Alfa Romeo,18907,Sportwagon
6,Alfa Romeo,19125,8C
6,Alfa Romeo,19161,MiTo
6,Alfa Romeo,19179,Crosswagon
6,Alfa Romeo,20276,SZ
6,Alfa Romeo,20291,4C
6,Alfa Romeo,20772,Alfa 6
6,Alfa Romeo,20940,1750
6,Alfa Romeo,20941,2000
6,Alfa Romeo,20942,Sonstige
6,Alfa Romeo,74543,Stelvio
6,Alfa Romeo,74730,Quadrifoglio
6,Alfa Romeo,75096,Montreal
6,Alfa Romeo,75290,Tonale
6,Alfa Romeo,76774,Junior
9,Audi,1619,100
9,Audi,1620,200
9,Audi,1622,80
9,Audi,1623,90
9,Audi,1624,A3
9,Audi,1626,A4
9,Audi,1628,A6
9,Audi,1629,A8
9,Audi,1630,Cabriolet
9,Audi,1631,Coupe
9,Audi,1633,S6
9,Audi,1634,V8
9,Audi,2108,S4
9,Audi,2109,S2
9,Audi,15123,S8
9,Audi,15627,TT
9,Audi,15637,S3
9,Audi,15735,RS
9,Audi,16414,Allroad
9,Audi,16416,A2
9,Audi,16581,50
9,Audi,18000,QUATTRO
9,Audi,18683,Q7
9,Audi,18925,R8
9,Audi,19047,A5
9,Audi,19048,S5
9,Audi,19083,A1
9,Audi,19155,Q5
9,Audi,19216,A7
9,Audi,19715,Q3
9,Audi,19728,RS2
9,Audi,19729,RS3
9,Audi,19730,RS4
9,Audi,19731,RS5
9,Audi,19732,RS6
9,Audi,20055,TTS
9,Audi,20056,TT RS
9,Audi,20155,S7
9,Audi,20164,SQ5
9,Audi,20295,RS7
9,Audi,20369,S1
9,Audi,20385,RS Q3
9,Audi,20493,A4 allroad
9,Audi,20494,A6 allroad
9,Audi,21001,Sonstige
9,Audi,74373,Q2
9,Audi,74439,SQ7
9,Audi,74734,Q8
9,Audi,74735,SQ2
9,Audi,74969,RS Q5
9,Audi,75259,e-tron
9,Audi,75380,Q1
9,Audi,75399,SQ8
9,Audi,75481,RS Q8
9,Audi,75604,SQ3
9,Audi,75830,Q4 e-tron
9,Audi,75926,e-tron GT
9,Audi,76442,Q8 e-tron
9,Audi,76582,SQ8 e-tron
9,Audi,76648,RS e-tron GT
9,Audi,76747,Q6
9,Audi,76748,SQ6
13,BMW,1639,316
13,BMW,1640,318
13,BMW,1641,320
13,BMW,1642,323
13,BMW,1643,324
13,BMW,1644,325
13,BMW,1645,328
13,BMW,1646,M3
13,BMW,1647,518
13,BMW,1648,520
